id,Specialism,max_threshold_value,alignment_sum,alignment_sum_relative,alignment_mean,max,min
14,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
14,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
14,Digital Forensics,NA,NA,NA,NA,NA,NA
14,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
14,Identity & Access Management,NA,NA,NA,NA,NA,NA
14,Incident response,NA,NA,NA,NA,NA,NA
14,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
14,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
14,Secure Operations,NA,NA,NA,NA,NA,NA
14,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
14,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
14,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
14,Secure System Development,NA,NA,NA,NA,NA,NA
14,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
14,Security Testing,NA,NA,NA,NA,NA,NA
14,Vulnerability Management,NA,NA,NA,NA,NA,NA
15,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
15,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
15,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
15,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
15,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
15,Cyber Security Management,NA,NA,NA,NA,NA,NA
15,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
15,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
15,Digital Forensics,NA,NA,NA,NA,NA,NA
15,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
15,Identity & Access Management,NA,NA,NA,NA,NA,NA
15,Incident response,NA,NA,NA,NA,NA,NA
15,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
15,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
15,Secure Operations,NA,NA,NA,NA,NA,NA
15,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
15,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
15,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
15,Secure System Development,NA,NA,NA,NA,NA,NA
15,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
15,Security Testing,NA,NA,NA,NA,NA,NA
15,Vulnerability Management,NA,NA,NA,NA,NA,NA
16,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
16,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
16,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
16,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
16,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
16,Cyber Security Management,NA,NA,NA,NA,NA,NA
16,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
16,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
16,Digital Forensics,NA,NA,NA,NA,NA,NA
16,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
16,Identity & Access Management,NA,NA,NA,NA,NA,NA
16,Incident response,NA,NA,NA,NA,NA,NA
16,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
16,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
16,Secure Operations,NA,NA,NA,NA,NA,NA
16,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
16,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
16,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
16,Secure System Development,NA,NA,NA,NA,NA,NA
16,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
16,Security Testing,NA,NA,NA,NA,NA,NA
16,Vulnerability Management,NA,NA,NA,NA,NA,NA
17,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
17,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
17,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
17,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
17,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
17,Cyber Security Management,NA,NA,NA,NA,NA,NA
17,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
17,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
17,Digital Forensics,NA,NA,NA,NA,NA,NA
17,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
17,Identity & Access Management,NA,NA,NA,NA,NA,NA
17,Incident response,NA,NA,NA,NA,NA,NA
17,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
17,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
17,Secure Operations,NA,NA,NA,NA,NA,NA
17,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
17,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
17,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
17,Secure System Development,NA,NA,NA,NA,NA,NA
17,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
17,Security Testing,NA,NA,NA,NA,NA,NA
17,Vulnerability Management,NA,NA,NA,NA,NA,NA
18,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
18,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
18,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
18,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
18,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
18,Cyber Security Management,NA,NA,NA,NA,NA,NA
18,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
18,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
18,Digital Forensics,NA,NA,NA,NA,NA,NA
18,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
18,Identity & Access Management,NA,NA,NA,NA,NA,NA
18,Incident response,NA,NA,NA,NA,NA,NA
18,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
18,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
18,Secure Operations,NA,NA,NA,NA,NA,NA
18,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
18,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
18,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
18,Secure System Development,NA,NA,NA,NA,NA,NA
18,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
18,Security Testing,NA,NA,NA,NA,NA,NA
18,Vulnerability Management,NA,NA,NA,NA,NA,NA
19,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
19,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
19,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
19,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
19,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
19,Cyber Security Management,NA,NA,NA,NA,NA,NA
19,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
19,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
19,Digital Forensics,NA,NA,NA,NA,NA,NA
19,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
19,Identity & Access Management,NA,NA,NA,NA,NA,NA
19,Incident response,NA,NA,NA,NA,NA,NA
19,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
19,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
19,Secure Operations,NA,NA,NA,NA,NA,NA
