id,Specialism,reference_sum,test_sum,alignment_index,alignment_type
52,Incident response,496.03,286.55,0.5776868334576538,scenario
52,Incident response (Industrial Control Systems),535.12,325.64,0.6085364030497832,scenario
52,Network Monitoring & Intrusion Detection,339.1,247.22,0.7290474786198761,scenario
52,Secure Operations,405.5,277.49,0.6843156596794081,scenario
52,Secure Operations (Industrial control systems),444.59000000000003,316.58000000000004,0.7120717964866506,scenario
52,Secure System Architecture & Design,398.1,333.45,0.8376036171816126,scenario
52,Secure System Architecture & Design (Industrial Control Systems),437.19000000000005,372.53999999999996,0.8521237905716048,scenario
52,Secure System Development,398.1,333.45,0.8376036171816126,scenario
52,Secure System Development (Industrial Control Systems),437.19000000000005,372.53999999999996,0.8521237905716048,scenario
52,Security Testing,507.14,438.39,0.8644358559766534,scenario
52,Vulnerability Management,483.54999999999995,335.11,0.6930203701788854,scenario
53,Cryptography & Communications Security (Cryptographer),0,0,NA,scenario
53,Cryptography & Communications Security (Secure Communications Operator),0,0,NA,scenario
53,Cyber Security Audit & Assurance,0,0,NA,scenario
53,Cyber Security Governance & Risk Management,0,0,NA,scenario
53,Cyber Security Governance & Risk Management (Industrial Control Systems),0,0,NA,scenario
53,Cyber Security Management,0,0,NA,scenario
53,Cyber Threat Intelligence,0,0,NA,scenario
53,Data Protection & Privacy,0,0,NA,scenario
53,Digital Forensics,0,0,NA,scenario
53,Digital Forensics (Industrial Control Systems),0,0,NA,scenario
53,Identity & Access Management,0,0,NA,scenario
53,Incident response,0,0,NA,scenario
53,Incident response (Industrial Control Systems),0,0,NA,scenario
53,Network Monitoring & Intrusion Detection,0,0,NA,scenario
53,Secure Operations,0,0,NA,scenario
53,Secure Operations (Industrial control systems),0,0,NA,scenario
53,Secure System Architecture & Design,0,0,NA,scenario
53,Secure System Architecture & Design (Industrial Control Systems),0,0,NA,scenario
53,Secure System Development,0,0,NA,scenario
53,Secure System Development (Industrial Control Systems),0,0,NA,scenario
53,Security Testing,0,0,NA,scenario
53,Vulnerability Management,0,0,NA,scenario
54,Cryptography & Communications Security (Cryptographer),339.24,258.37,0.7616141964390991,scenario
54,Cryptography & Communications Security (Secure Communications Operator),339.24,258.37,0.7616141964390991,scenario
54,Cyber Security Audit & Assurance,265.03,218.81,0.8256046485303552,scenario
54,Cyber Security Governance & Risk Management,214.96,129.51,0.6024841831038332,scenario
54,Cyber Security Governance & Risk Management (Industrial Control Systems),214.96,129.51,0.6024841831038332,scenario
54,Cyber Security Management,475.87,362.89,0.7625822178326013,scenario
54,Cyber Threat Intelligence,317.43,217.12,0.68399332136219,scenario
54,Data Protection & Privacy,205.76999999999998,205.76999999999998,1,scenario
54,Digital Forensics,348.43,239.3,0.6867950520908074,scenario
54,Digital Forensics (Industrial Control Systems),348.43,239.3,0.6867950520908074,scenario
54,Identity & Access Management,291.91999999999996,176.46999999999997,0.6045149355987942,scenario
54,Incident response,188.62,127.12,0.6739476195525395,scenario
54,Incident response (Industrial Control Systems),188.62,127.12,0.6739476195525395,scenario
54,Network Monitoring & Intrusion Detection,188.62,187.12,0.9920475029159156,scenario
54,Secure Operations,296.99,214.01,0.7205966530859624,scenario
54,Secure Operations (Industrial control systems),296.99,214.01,0.7205966530859624,scenario
54,Secure System Architecture & Design,172.98000000000002,90,0.5202913631633714,scenario
54,Secure System Architecture & Design (Industrial Control Systems),172.98000000000002,90,0.5202913631633714,scenario
54,Secure System Development,172.98000000000002,90,0.5202913631633714,scenario
54,Secure System Development (Industrial Control Systems),172.98000000000002,90,0.5202913631633714,scenario
54,Security Testing,191.76999999999998,160.97,0.8393909370600199,scenario
54,Vulnerability Management,228.13,187.12,0.8202340770613247,scenario
55,Cryptography & Communications Security (Cryptographer),74.86,30,0.4007480630510286,scenario
55,Cryptography & Communications Security (Secure Communications Operator),74.86,30,0.4007480630510286,scenario
55,Cyber Security Audit & Assurance,16.47,16.47,1,scenario
55,Cyber Security Governance & Risk Management,16.47,16.47,1,scenario
55,Cyber Security Governance & Risk Management (Industrial Control Systems),16.47,16.47,1,scenario
55,Cyber Security Management,97.98,53.12,0.5421514594815268,scenario
55,Cyber Threat Intelligence,16.47,16.47,1,scenario
55,Data Protection & Privacy,91.33,76.47,0.837293331873426,scenario
55,Digital Forensics,0,0,NA,scenario
55,Digital Forensics (Industrial Control Systems),0,0,NA,scenario
55,Identity & Access Management,91.33,91.33,1,scenario
55,Incident response,0,0,NA,scenario
55,Incident response (Industrial Control Systems),0,0,NA,scenario
55,Network Monitoring & Intrusion Detection,0,0,NA,scenario
55,Secure Operations,74.86,74.86,1,scenario
55,Secure Operations (Industrial control systems),74.86,74.86,1,scenario
55,Secure System Architecture & Design,6.65,6.65,1,scenario
55,Secure System Architecture & Design (Industrial Control Systems),6.65,6.65,1,scenario
55,Secure System Development,6.65,6.65,1,scenario
55,Secure System Development (Industrial Control Systems),6.65,6.65,1,scenario
55,Security Testing,6.65,6.65,1,scenario
55,Vulnerability Management,16.47,16.47,1,scenario
56,Cryptography & Communications Security (Cryptographer),113.86000000000001,75.27000000000001,0.6610750043913578,scenario
56,Cryptography & Communications Security (Secure Communications Operator),113.86000000000001,75.27000000000001,0.6610750043913578,scenario
56,Cyber Security Audit & Assurance,110.84,72.25,0.651840490797546,scenario
56,Cyber Security Governance & Risk Management,42.25,42.25,1,scenario
56,Cyber Security Governance & Risk Management (Industrial Control Systems),96.3,96.3,1,scenario
56,Cyber Security Management,279.3,192.25,0.688327962764053,scenario
56,Cyber Threat Intelligence,42.25,30,0.7100591715976331,scenario
56,Data Protection & Privacy,110.84,110.84,1,scenario
56,Digital Forensics,0,0,NA,scenario
56,Digital Forensics (Industrial Control Systems),54.05,54.05,1,scenario
56,Identity & Access Management,156.11,147.52,0.9449746973288066,scenario
56,Incident response,0,0,NA,scenario
56,Incident response (Industrial Control Systems),54.05,54.05,1,scenario
56,Network Monitoring & Intrusion Detection,0,0,NA,scenario
56,Secure Operations,0,0,NA,scenario
56,Secure Operations (Industrial control systems),54.05,54.05,1,scenario
56,Secure System Architecture & Design,45.27,45.27,1,scenario
56,Secure System Architecture & Design (Industrial Control Systems),99.32,99.32,1,scenario
56,Secure System Development,45.27,45.27,1,scenario
56,Secure System Development (Industrial Control Systems),99.32,99.32,1,scenario
56,Security Testing,0,0,NA,scenario
56,Vulnerability Management,42.25,30,0.7100591715976331,scenario
57,Cryptography & Communications Security (Cryptographer),190.82,135.59,0.7105649303008071,scenario
57,Cryptography & Communications Security (Secure Communications Operator),190.82,135.59,0.7105649303008071,scenario
57,Cyber Security Audit & Assurance,211.94,187.89000000000001,0.8865244880626594,scenario
57,Cyber Security Governance & Risk Management,157.89000000000001,156.71,0.9925264424599404,scenario
57,Cyber Security Governance & Risk Management (Industrial Control Systems),157.89000000000001,156.71,0.9925264424599404,scenario
57,Cyber Security Management,385.88,301.94,0.7824712345806987,scenario
57,Cyber Threat Intelligence,143.07999999999998,120,0.8386916410399777,scenario
57,Data Protection & Privacy,211.94,192.97000000000003,0.9104935359063887,scenario
57,Digital Forensics,95.34,91.18,0.9563666876442207,scenario
57,Digital Forensics (Industrial Control Systems),95.34,91.18,0.9563666876442207,scenario
57,Identity & Access Management,204.4,173.22,0.8474559686888453,scenario
57,Incident response,83.13,60,0.7217610970768676,scenario
57,Incident response (Industrial Control Systems),83.13,60,0.7217610970768676,scenario
57,Network Monitoring & Intrusion Detection,34.16,34.16,1,scenario
57,Secure Operations,83.13,64.16,0.7718031998075304,scenario
57,Secure Operations (Industrial control systems),83.13,64.16,0.7718031998075304,scenario
57,Secure System Architecture & Design,75.59,71.43,0.9449662653790184,scenario
57,Secure System Architecture & Design (Industrial Control Systems),75.59,71.43,0.9449662653790184,scenario
57,Secure System Development,75.59,71.43,0.9449662653790184,scenario
57,Secure System Development (Industrial Control Systems),75.59,71.43,0.9449662653790184,scenario
57,Security Testing,95.34,94.16,0.987623243129851,scenario
57,Vulnerability Management,81.9,64.16,0.7833943833943833,scenario
58,Cryptography & Communications Security (Cryptographer),285.44999999999993,225.25000000000003,0.7891049220528992,scenario
58,Cryptography & Communications Security (Secure Communications Operator),285.44999999999993,225.25000000000003,0.7891049220528992,scenario
58,Cyber Security Audit & Assurance,432.09,321.01,0.7429239278853943,scenario
58,Cyber Security Governance & Risk Management,306.29999999999995,231.01000000000002,0.7541952334312767,scenario
58,Cyber Security Governance & Risk Management (Industrial Control Systems),346.0799999999999,270.79,0.7824491447064265,scenario
58,Cyber Security Management,943.06,759.4799999999999,0.8053358216868491,scenario
58,Cyber Threat Intelligence,419.75,354.65,0.844907683144729,scenario
58,Data Protection & Privacy,315.9,240.2,0.7603672048116493,scenario
58,Digital Forensics,394.65,332.95,0.8436589382997594,scenario
58,Digital Forensics (Industrial Control Systems),434.42999999999995,372.73,0.8579748175770552,scenario
58,Identity & Access Management,475.15999999999997,329.55,0.6935558548699386,scenario
58,Incident response,401.23,311.51,0.7763876081050768,scenario
