id,cryptography_communications_security_cryptographer,cryptography_communications_security_secure_communications_operator,cyber_security_audit_assurance,cyber_security_governance_risk_management,cyber_security_governance_risk_management_industrial_control_systems,cyber_security_management,cyber_threat_intelligence,data_protection_privacy,digital_forensics,digital_forensics_industrial_control_systems,identity_access_management,incident_response,incident_response_industrial_control_systems,network_monitoring_intrusion_detection,secure_operations,secure_operations_industrial_control_systems,secure_system_architecture_design,secure_system_architecture_design_industrial_control_systems,secure_system_development,secure_system_development_industrial_control_systems,security_testing,vulnerability_management
21,17.50875,17.50875,51.95,55.425,49.936,28.488095238095237,34.91428571428571,43.35,30.475,30.197777777777777,29.363333333333333,32.64142857142857,32.058749999999996,38.777499999999996,25.835,26.073333333333334,25.48,25.75777777777778,25.48,25.75777777777778,34.30714285714286,35.20166666666667
22,40.135,40.135,46.03666666666667,44.3275,47.462,33.95761904761905,41.41428571428571,51.638,47.71375,52.41222222222222,36.827777777777776,34.59,41.51625,53.8725,40.6475,42.797777777777775,42.738749999999996,47.99,42.738749999999996,47.99,57.357142857142854,44.361666666666665
23,26.15125,26.15125,55.50833333333333,53.4025,43.738,31.36714285714286,37.87428571428571,56.366,38.47375,34.763333333333335,39.147777777777776,30.10571428571429,26.9775,47.1425,36.551249999999996,33.05444444444444,32.7675,29.691111111111113,32.7675,29.691111111111113,51.488571428571426,47.27166666666667
24,26.5975,26.5975,48.29333333333334,47.945,47.756,33.275238095238095,57.277142857142856,55.516,45.07125,45.285555555555554,34.92666666666667,45.09428571428572,45.3325,52,39.3375,40.18888888888889,25.17125,27.596666666666668,25.17125,27.596666666666668,42.40857142857143,51.585
25,19.3425,19.3425,38.678333333333335,35.5175,34.394,27.315714285714286,51.098571428571425,34.230000000000004,33.90625,33.46111111111111,30.835555555555555,39.96,38.7025,43.11,27.985,28.197777777777777,19.03125,20.23888888888889,19.03125,20.23888888888889,35.01285714285714,44.821666666666665
26,18.518750000000004,18.518750000000004,41.67166666666667,46.72,48.092,24.55238095238095,47.597142857142856,24.706,24.7425,27.946666666666665,18.874444444444443,39.48428571428571,41.24625,51.09,29.03,31.75777777777778,10.46,15.251111111111111,10.46,15.251111111111111,24.958571428571428,44.06
27,33.301249999999996,33.301249999999996,39.074999999999996,41.349999999999994,44.62,30.90047619047619,39.88285714285714,41.354,39.1525,41.21333333333333,35.60777777777778,36.712857142857146,39.33625,44.1625,38.3175,40.471111111111114,36.0825,38.48444444444444,36.0825,38.48444444444444,45.464285714285715,44.82833333333333
28,38.84,38.84,56.42666666666667,60,58.704,39.76619047619048,48.957142857142856,59.466,46.6325,47.397777777777776,43.922222222222224,42.69714285714286,44.05,47.335,41.0775,42.46,44.93875,45.89222222222222,44.93875,45.89222222222222,46.01857142857143,48.39833333333333
29,40.85125,37.10125,53.055,50.45,51.332,39.28571428571429,48.23428571428571,58.472,50.76375,51.21888888888889,44.02777777777778,43.94857142857143,45.3125,54.515,44.167500000000004,45.355555555555554,47.2575,48.102222222222224,47.2575,48.102222222222224,53.83,53.125
30,28.80875,28.80875,41.468333333333334,44.9075,41.072,31.023809523809526,35.46,41.622,34.8075,33.79888888888889,34.48777777777778,32.581428571428575,31.725,32.39,32.441250000000004,31.695555555555558,31.12,30.52111111111111,31.12,30.52111111111111,32.59428571428572,33.303333333333335
31,49.62625,48.74125,49.43333333333333,51.65,53.32,37.562380952380956,52.73714285714286,54.116,48.3775,50.836666666666666,45.44555555555556,47.142857142857146,50.06375,65.85,49.6,50.75555555555555,51.765,53.84777777777778,51.765,53.84777777777778,53.472857142857144,52.035
32,30.21625,30.21625,57.46666666666667,60,50.196,35.455238095238094,42.245714285714286,60.012,42.6225,39.10666666666667,35.98555555555556,36.424285714285716,33.24375,48.15,31.38,29.113333333333333,36.58875,33.74333333333333,36.58875,33.74333333333333,52.74,45.44166666666666
