scenario_id,cryptography_communications_security_cryptographer,cryptography_communications_security_secure_communications_operator,cyber_security_audit_assurance,cyber_security_governance_risk_management,cyber_security_governance_risk_management_industrial_control_systems,cyber_security_management,cyber_threat_intelligence,data_protection_privacy,digital_forensics,digital_forensics_industrial_control_systems,identity_access_management,incident_response,incident_response_industrial_control_systems,network_monitoring_intrusion_detection,secure_operations,secure_operations_industrial_control_systems,secure_system_architecture_design,secure_system_architecture_design_industrial_control_systems,secure_system_development,secure_system_development_industrial_control_systems,security_testing,vulnerability_management
24,0.35331111111111113,0.3785476190476191,0.8817222222222221,0.9157916666666667,0.7855,0.656896551724138,1,0.738,0.7540416666666666,0.6628070175438596,0.44472549019607843,1,0.8234761904761905,0.9306666666666666,0.7265,0.6687291666666667,0.2037037037037037,0.19977777777777778,0.2037037037037037,0.19977777777777778,0.5520980392156862,0.7831538461538462
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.11633333333333333,0.12464285714285715,0.7219722222222221,0.8329583333333334,0.6663666666666667,0.4874022988505747,0.9214761904761904,0.4338787878787879,0.5500833333333334,0.46322807017543866,0.4427843137254902,0.8181818181818182,0.6428571428571429,0.6666666666666666,0.48178571428571426,0.4215625,0.18785185185185185,0.161015873015873,0.18785185185185185,0.161015873015873,0.5021764705882353,0.7623333333333333
27,0.4030222222222222,0.43180952380952387,0.32311111111111107,0.3155,0.3589,0.5076206896551724,0.7208095238095238,0.3334242424242424,0.6570208333333334,0.6093333333333333,0.5476666666666666,0.7127575757575757,0.636095238095238,0.7444444444444445,0.769142857142857,0.7395624999999999,0.3558888888888889,0.3557619047619048,0.3558888888888889,0.3557619047619048,0.5663921568627451,0.6695384615384615
28,0.9415777777777777,0.9572142857142857,1,1,1,0.9870114942528736,0.9485,0.9623636363636363,0.9767916666666667,0.9624210526315791,0.974078431372549,0.9657575757575757,0.9486190476190475,0.9155925925925925,0.954404761904762,0.9601041666666668,0.9339444444444445,0.927063492063492,0.9339444444444445,0.927063492063492,0.9104313725490196,0.9572564102564102
29,0.775,0.8303571428571429,0.8753888888888889,0.828125,0.8625,0.9267241379310345,0.9980238095238095,0.8240909090909091,0.8912083333333333,0.8954736842105262,0.7628039215686274,1,0.9824761904761904,0.9696666666666667,0.8492142857142857,0.8680625000000001,0.5792222222222223,0.6276507936507937,0.5792222222222223,0.6276507936507937,0.7758823529411765,0.9989230769230769
30,0.06666666666666667,0.07142857142857142,0.6683333333333333,0.8472083333333332,0.8777666666666666,0.3455172413793103,0.4140952380952381,0.504090909090909,0.26514583333333336,0.35940350877192984,0.2507843137254902,0.34521212121212125,0.45597619047619053,0.3108148148148148,0.2452857142857143,0.339625,0,0.12315873015873016,0,0.12315873015873016,0.19784313725490196,0.29210256410256413
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.15966666666666665,0.17107142857142857,1,1,0.8,0.5824252873563218,0.5728095238095238,0.8160909090909091,0.6276458333333333,0.5285438596491228,0.6069411764705882,0.4995757575757576,0.39252380952380955,0.38837037037037037,0.26892857142857146,0.2353125,0.24224074074074076,0.20763492063492064,0.24224074074074076,0.20763492063492064,0.40972549019607846,0.6534871794871795
33,0.4581777777777778,0.4909047619047619,0.6665833333333333,0.624875,0.5372,0.6192643678160921,0.8204047619047619,0.5473939393939393,0.5125,0.45121052631578945,0.6247843137254901,0.8768787878787879,0.7156190476190476,0.9636666666666667,0.8967380952380952,0.8079583333333333,0.39644444444444454,0.35757142857142865,0.39644444444444454,0.35757142857142865,0.5924705882352942,0.7975897435897435
34,0.2481111111111111,0.2658333333333333,0.5090833333333333,0.42624999999999996,0.3571,0.42728735632183895,0.676,0.5850000000000001,0.5964166666666666,0.5107192982456139,0.34072549019607845,0.5955454545454546,0.47942857142857154,0.43403703703703705,0.30542857142857144,0.2773125,0.11801851851851851,0.10882539682539683,0.11801851851851851,0.10882539682539683,0.3695490196078432,0.3975384615384616
35,0.4396666666666667,0.47107142857142864,0.716,0.7199166666666666,0.5981000000000001,0.5792183908045977,0.43561904761904763,0.6623636363636364,0.45210416666666664,0.39238596491228067,0.6070784313725489,0.5507575757575758,0.44857142857142857,0.6425925925925926,0.6545,0.5865416666666666,0.309,0.2754126984126984,0.309,0.2754126984126984,0.3899803921568627,0.5212564102564102
36,0.14795555555555556,0.1585238095238095,0.8503333333333334,0.9005,0.7277,0.3831264367816092,0.4785238095238096,0.6793030303030303,0.3659583333333334,0.31201754385964914,0.36978431372549025,0.35339393939393937,0.28288095238095234,0.20411111111111113,0.13121428571428573,0.11937500000000001,0.010166666666666668,0.01219047619047619,0.010166666666666668,0.01219047619047619,0.18374509803921568,0.2951538461538461
37,0.24735555555555558,0.26502380952380955,0.4740277777777779,0.6028333333333333,0.48316666666666674,0.31887356321839067,0.43092857142857144,0.45836363636363636,0.31027083333333333,0.2617543859649123,0.3018823529411765,0.40087878787878795,0.3156190476190477,0.3962962962962963,0.40423809523809523,0.35427083333333337,0.09924074074074074,0.08549206349206351,0.09924074074074074,0.08549206349206351,0.25445098039215686,0.3681538461538461
38,0.06666666666666667,0.07142857142857142,0.1973888888888889,0.251875,0.2463,0.16014942528735635,0.1681190476190476,0.2356969696969697,0.08460416666666666,0.09482456140350877,0.2229019607843137,0.12306060606060606,0.1286904761904762,0.1504074074074074,0.1953333333333333,0.19891666666666666,0,0.021333333333333333,0,0.021333333333333333,0.011568627450980393,0.18105128205128204
39,0.13333333333333333,0.14285714285714285,0.6186111111111111,0.6779166666666666,0.7423333333333333,0.4779425287356322,0.6005238095238096,0.45454545454545453,0.25,0.3455263157894737,0.49145098039215684,0.767,0.7858571428571428,0.6041111111111112,0.6279761904761905,0.6744791666666666,0.25361111111111106,0.3395238095238095,0.25361111111111106,0.3395238095238095,0.20084313725490197,0.5720769230769231
