id,Specialism,alignment_type,threshold_sum,indicator_sum,indicator_mean,indicator_max,indicator_min,alignment_index
6,Security Testing,personal,510,217.29,31.041428571428572,64.47,5.76,0.42605882352941177
6,Vulnerability Management,personal,390,243.5,40.583333333333336,60,5.76,0.6243589743589744
7,Cryptography & Communications Security (Cryptographer),personal,450,325.98,40.7475,83.26,7.68,0.7244
7,Cryptography & Communications Security (Secure Communications Operator),personal,420,302.71999999999997,37.839999999999996,80.11,7.68,0.7207619047619047
7,Cyber Security Audit & Assurance,personal,360,196.97999999999996,32.83,73.39,10.97,0.5471666666666666
7,Cyber Security Governance & Risk Management,personal,240,151.18,37.795,60,14.68,0.6299166666666667
7,Cyber Security Governance & Risk Management (Industrial Control Systems),personal,300,211.18,42.236,60,14.68,0.7039333333333334
7,Cyber Security Management,personal,870,523.8099999999998,24.94333333333333,73.39,7.68,0.6020804597701147
7,Cyber Threat Intelligence,personal,420,197.36,28.194285714285716,60,10.43,0.46990476190476194
7,Data Protection & Privacy,personal,330,205.95999999999998,41.192,73.39,11.39,0.6241212121212121
7,Digital Forensics,personal,480,254.05999999999995,31.7575,73.39,10.43,0.5292916666666666
7,Digital Forensics (Industrial Control Systems),personal,570,333.2099999999999,37.02333333333333,79.15,10.43,0.5845789473684209
7,Identity & Access Management,personal,510,272.40000000000003,30.266666666666666,60.63,10.97,0.5341176470588236
7,Incident response,personal,330,152.04,21.72,40.05,10.43,0.4607272727272727
7,Incident response (Industrial Control Systems),personal,420,231.19,28.89875,79.15,10.43,0.5504523809523809
7,Network Monitoring & Intrusion Detection,personal,270,138.95,34.7375,72.02,10.97,0.5146296296296295
7,Secure Operations,personal,420,243.22,30.4025,60.63,10.43,0.5790952380952381
7,Secure Operations (Industrial control systems),personal,480,303.22,33.69111111111111,60.63,10.43,0.6317083333333334
7,Secure System Architecture & Design,personal,540,292.80999999999995,36.60125,90,11.39,0.5422407407407407
7,Secure System Architecture & Design (Industrial Control Systems),personal,630,371.9599999999999,41.32888888888889,90,11.39,0.5904126984126983
7,Secure System Development,personal,540,292.80999999999995,36.60125,90,11.39,0.5422407407407407
7,Secure System Development (Industrial Control Systems),personal,630,371.9599999999999,41.32888888888889,90,11.39,0.5904126984126983
