id,Specialism,max_threshold_value,alignment_sum,alignment_index,alignment_mean,max,min
2,Incident response,330,175.46,0.5316969696969697,25.065714285714286,72.98,8.23
2,Incident response (Industrial Control Systems),420,265.46000000000004,0.6320476190476191,33.1825,97.26,8.23
2,Network Monitoring & Intrusion Detection,270,141.56,0.5242962962962963,35.39,65.02,8.23
2,Secure Operations,420,252.64000000000001,0.6015238095238096,31.58,72.98,8.92
2,Secure Operations (Industrial control systems),480,312.64,0.6513333333333333,34.73777777777778,97.26,8.92
2,Secure System Architecture & Design,540,240.56,0.4454814814814815,30.07,66.39,7.96
2,Secure System Architecture & Design (Industrial Control Systems),630,330.56,0.5246984126984127,36.72888888888889,97.26,7.96
2,Secure System Development,540,240.56,0.4454814814814815,30.07,66.39,7.96
2,Secure System Development (Industrial Control Systems),630,330.56,0.5246984126984127,36.72888888888889,97.26,7.96
2,Security Testing,510,225.01999999999998,0.44121568627450974,32.145714285714284,95.61,8.23
2,Vulnerability Management,390,181.63,0.4657179487179487,30.271666666666665,99.04,8.23
3,Cryptography & Communications Security (Cryptographer),450,450,1,56.25,100,98.1
3,Cryptography & Communications Security (Secure Communications Operator),420,420,1,52.5,100,98.1
3,Cyber Security Audit & Assurance,360,360,1,60,100,100
3,Cyber Security Governance & Risk Management,240,240,1,60,100,100
3,Cyber Security Governance & Risk Management (Industrial Control Systems),300,300,1,60,100,100
3,Cyber Security Management,870,870,1,41.42857142857143,100,98.1
3,Cyber Threat Intelligence,420,420,1,60,100,100
3,Data Protection & Privacy,330,330,1,66,100,100
3,Digital Forensics,480,480,1,60,100,100
3,Digital Forensics (Industrial Control Systems),570,570,1,63.333333333333336,100,100
3,Identity & Access Management,510,510,1,56.66666666666667,100,98.1
3,Incident response,330,330,1,47.142857142857146,100,100
3,Incident response (Industrial Control Systems),420,420,1,52.5,100,100
3,Network Monitoring & Intrusion Detection,270,270,1,67.5,100,100
3,Secure Operations,420,420,1,52.5,100,100
3,Secure Operations (Industrial control systems),480,480,1,53.333333333333336,100,100
3,Secure System Architecture & Design,540,540,1,67.5,100,98.1
3,Secure System Architecture & Design (Industrial Control Systems),630,630,1,70,100,98.1
3,Secure System Development,540,540,1,67.5,100,98.1
3,Secure System Development (Industrial Control Systems),630,630,1,70,100,98.1
3,Security Testing,510,510,1,72.85714285714286,100,100
3,Vulnerability Management,390,390,1,65,100,100
4,Cryptography & Communications Security (Cryptographer),450,238.84,0.5307555555555555,29.855,55.49,1.45
4,Cryptography & Communications Security (Secure Communications Operator),420,238.84,0.5686666666666667,29.855,55.49,1.45
4,Cyber Security Audit & Assurance,360,258.1,0.7169444444444445,43.016666666666666,100,1.45
4,Cyber Security Governance & Risk Management,240,196.64999999999998,0.8193749999999999,49.1625,100,52.89
4,Cyber Security Governance & Risk Management (Industrial Control Systems),300,256.65,0.8554999999999999,51.33,100,52.89
4,Cyber Security Management,870,603.23,0.6933678160919541,28.725238095238094,100,0
4,Cyber Threat Intelligence,420,299.53000000000003,0.7131666666666667,42.79,69.36,34.97
4,Data Protection & Privacy,330,188.68,0.5717575757575758,37.736,100,1.45
4,Digital Forensics,480,348.95,0.7269791666666666,43.61875,69.36,1.73
