"","scenario_id","permutation","threshold_sum","values_sum","alignment_index","n_permutations"
"229",1,"Secure System Development (Industrial Control Systems), Security Testing",1140,120,0.105263157894737,2
"230",1,"Secure System Development (Industrial Control Systems), Vulnerability Management",1020,120,0.117647058823529,2
"231",1,"Security Testing, Vulnerability Management",900,240,0.266666666666667,2
"232",2,"Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator)",870,530.7,0.61,2
"233",2,"Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance",810,600,0.740740740740741,2
"234",2,"Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management",690,505.35,0.732391304347826,2
"235",2,"Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems)",750,565.35,0.7538,2
"236",2,"Cryptography & Communications Security (Cryptographer), Cyber Security Management",1320,905.61,0.686068181818182,2
"237",2,"Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence",870,470.81,0.54116091954023,2
"238",2,"Cryptography & Communications Security (Cryptographer), Data Protection & Privacy",780,513.8,0.658717948717949,2
"239",2,"Cryptography & Communications Security (Cryptographer), Digital Forensics",930,542.55,0.583387096774194,2
"240",2,"Cryptography & Communications Security (Cryptographer), Digital Forensics (Industrial Control Systems)",1020,632.55,0.62014705882353,2
"241",2,"Cryptography & Communications Security (Cryptographer), Identity & Access Management",960,499.89,0.52071875,2
"242",2,"Cryptography & Communications Security (Cryptographer), Incident response",780,440.81,0.565141025641026,2
"243",2,"Cryptography & Communications Security (Cryptographer), Incident response (Industrial Control Systems)",870,530.81,0.610126436781609,2
"244",2,"Cryptography & Communications Security (Cryptographer), Network Monitoring & Intrusion Detection",720,406.91,0.565152777777778,2
"245",2,"Cryptography & Communications Security (Cryptographer), Secure Operations",870,517.99,0.595390804597701,2
"246",2,"Cryptography & Communications Security (Cryptographer), Secure Operations (Industrial control systems)",930,577.99,0.621494623655914,2
"247",2,"Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design",990,505.91,0.511020202020202,2
"248",2,"Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design (Industrial Control Systems)",1080,595.91,0.551768518518519,2
"249",2,"Cryptography & Communications Security (Cryptographer), Secure System Development",990,505.91,0.511020202020202,2
"250",2,"Cryptography & Communications Security (Cryptographer), Secure System Development (Industrial Control Systems)",1080,595.91,0.551768518518519,2
"251",2,"Cryptography & Communications Security (Cryptographer), Security Testing",960,490.37,0.510802083333333,2
"252",2,"Cryptography & Communications Security (Cryptographer), Vulnerability Management",840,446.98,0.532119047619048,2
"253",2,"Cryptography & Communications Security (Secure Communications Operator), Cyber Security Audit & Assurance",780,600,0.769230769230769,2
"254",2,"Cryptography & Communications Security (Secure Communications Operator), Cyber Security Governance & Risk Management",660,505.35,0.765681818181818,2
"255",2,"Cryptography & Communications Security (Secure Communications Operator), Cyber Security Governance & Risk Management (Industrial Control Systems)",720,565.35,0.785208333333333,2
"256",2,"Cryptography & Communications Security (Secure Communications Operator), Cyber Security Management",1290,905.61,0.702023255813954,2
"257",2,"Cryptography & Communications Security (Secure Communications Operator), Cyber Threat Intelligence",840,470.81,0.560488095238095,2
"258",2,"Cryptography & Communications Security (Secure Communications Operator), Data Protection & Privacy",750,513.8,0.685066666666667,2
"259",2,"Cryptography & Communications Security (Secure Communications Operator), Digital Forensics",900,542.55,0.602833333333333,2
"260",2,"Cryptography & Communications Security (Secure Communications Operator), Digital Forensics (Industrial Control Systems)",990,632.55,0.638939393939394,2
"261",2,"Cryptography & Communications Security (Secure Communications Operator), Identity & Access Management",930,499.89,0.537516129032258,2
"262",2,"Cryptography & Communications Security (Secure Communications Operator), Incident response",750,440.81,0.587746666666667,2
"263",2,"Cryptography & Communications Security (Secure Communications Operator), Incident response (Industrial Control Systems)",840,530.81,0.631916666666667,2
"264",2,"Cryptography & Communications Security (Secure Communications Operator), Network Monitoring & Intrusion Detection",690,406.91,0.58972463768116,2
"265",2,"Cryptography & Communications Security (Secure Communications Operator), Secure Operations",840,517.99,0.616654761904762,2
"266",2,"Cryptography & Communications Security (Secure Communications Operator), Secure Operations (Industrial control systems)",900,577.99,0.642211111111111,2
"267",2,"Cryptography & Communications Security (Secure Communications Operator), Secure System Architecture & Design",960,505.91,0.526989583333333,2
"268",2,"Cryptography & Communications Security (Secure Communications Operator), Secure System Architecture & Design (Industrial Control Systems)",1050,595.91,0.567533333333333,2
"269",2,"Cryptography & Communications Security (Secure Communications Operator), Secure System Development",960,505.91,0.526989583333333,2
"270",2,"Cryptography & Communications Security (Secure Communications Operator), Secure System Development (Industrial Control Systems)",1050,595.91,0.567533333333333,2
"271",2,"Cryptography & Communications Security (Secure Communications Operator), Security Testing",930,490.37,0.527279569892473,2
"272",2,"Cryptography & Communications Security (Secure Communications Operator), Vulnerability Management",810,446.98,0.551827160493827,2
"273",2,"Cyber Security Audit & Assurance, Cyber Security Governance & Risk Management",600,574.65,0.95775,2
"274",2,"Cyber Security Audit & Assurance, Cyber Security Governance & Risk Management (Industrial Control Systems)",660,634.65,0.961590909090909,2
"275",2,"Cyber Security Audit & Assurance, Cyber Security Management",1230,974.91,0.792609756097561,2
"276",2,"Cyber Security Audit & Assurance, Cyber Threat Intelligence",780,540.11,0.692448717948718,2
"277",2,"Cyber Security Audit & Assurance, Data Protection & Privacy",690,583.1,0.845072463768116,2
"278",2,"Cyber Security Audit & Assurance, Digital Forensics",840,611.85,0.728392857142857,2
"279",2,"Cyber Security Audit & Assurance, Digital Forensics (Industrial Control Systems)",930,701.85,0.754677419354839,2
"280",2,"Cyber Security Audit & Assurance, Identity & Access Management",870,569.19,0.654241379310345,2
"281",2,"Cyber Security Audit & Assurance, Incident response",690,510.11,0.739289855072464,2
"282",2,"Cyber Security Audit & Assurance, Incident response (Industrial Control Systems)",780,600.11,0.769371794871795,2
"283",2,"Cyber Security Audit & Assurance, Network Monitoring & Intrusion Detection",630,476.21,0.755888888888889,2
"284",2,"Cyber Security Audit & Assurance, Secure Operations",780,587.29,0.752935897435898,2
"285",2,"Cyber Security Audit & Assurance, Secure Operations (Industrial control systems)",840,647.29,0.770583333333333,2
"286",2,"Cyber Security Audit & Assurance, Secure System Architecture & Design",900,575.21,0.639122222222222,2
"287",2,"Cyber Security Audit & Assurance, Secure System Architecture & Design (Industrial Control Systems)",990,665.21,0.671929292929293,2
"288",2,"Cyber Security Audit & Assurance, Secure System Development",900,575.21,0.639122222222222,2
"289",2,"Cyber Security Audit & Assurance, Secure System Development (Industrial Control Systems)",990,665.21,0.671929292929293,2
"290",2,"Cyber Security Audit & Assurance, Security Testing",870,559.67,0.643298850574713,2
"291",2,"Cyber Security Audit & Assurance, Vulnerability Management",750,516.28,0.688373333333333,2
"292",2,"Cyber Security Governance & Risk Management, Cyber Security Governance & Risk Management (Industrial Control Systems)",540,540,1,2
"293",2,"Cyber Security Governance & Risk Management, Cyber Security Management",1110,880.26,0.793027027027027,2
"294",2,"Cyber Security Governance & Risk Management, Cyber Threat Intelligence",660,445.46,0.674939393939394,2
"295",2,"Cyber Security Governance & Risk Management, Data Protection & Privacy",570,488.45,0.856929824561404,2
"296",2,"Cyber Security Governance & Risk Management, Digital Forensics",720,517.2,0.718333333333333,2
"297",2,"Cyber Security Governance & Risk Management, Digital Forensics (Industrial Control Systems)",810,607.2,0.74962962962963,2
"298",2,"Cyber Security Governance & Risk Management, Identity & Access Management",750,474.54,0.63272,2
