"","id","permutation","test_max","reference_max","alignment_index","n_permutations"
"14077","61","Secure System Architecture & Design, Secure System Architecture & Design (Industrial Control Systems)",0,0,NA,2
"14078","61","Secure System Architecture & Design, Secure System Development",0,0,NA,2
"14079","61","Secure System Architecture & Design, Secure System Development (Industrial Control Systems)",0,0,NA,2
"14080","61","Secure System Architecture & Design, Security Testing",120,200,0.6,2
"14081","61","Secure System Architecture & Design, Vulnerability Management",120,200,0.6,2
"14082","61","Secure System Architecture & Design (Industrial Control Systems), Secure System Development",0,0,NA,2
"14083","61","Secure System Architecture & Design (Industrial Control Systems), Secure System Development (Industrial Control Systems)",0,0,NA,2
"14084","61","Secure System Architecture & Design (Industrial Control Systems), Security Testing",120,200,0.6,2
"14085","61","Secure System Architecture & Design (Industrial Control Systems), Vulnerability Management",120,200,0.6,2
"14086","61","Secure System Development, Secure System Development (Industrial Control Systems)",0,0,NA,2
"14087","61","Secure System Development, Security Testing",120,200,0.6,2
"14088","61","Secure System Development, Vulnerability Management",120,200,0.6,2
"14089","61","Secure System Development (Industrial Control Systems), Security Testing",120,200,0.6,2
"14090","61","Secure System Development (Industrial Control Systems), Vulnerability Management",120,200,0.6,2
"14091","61","Security Testing, Vulnerability Management",120,200,0.6,2
"14092","62","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator)",0,0,NA,2
"14093","62","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance",30,100,0.3,2
"14094","62","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management",0,0,NA,2
"14095","62","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems)",0,0,NA,2
"14096","62","Cryptography & Communications Security (Cryptographer), Cyber Security Management",90,250.21,0.359697853802806,2
"14097","62","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence",210,250.21,0.839294992206546,2
"14098","62","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy",0,0,NA,2
"14099","62","Cryptography & Communications Security (Cryptographer), Digital Forensics",110.21,150.21,0.73370614473071,2
"14100","62","Cryptography & Communications Security (Cryptographer), Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"14101","62","Cryptography & Communications Security (Cryptographer), Identity & Access Management",30,100,0.3,2
"14102","62","Cryptography & Communications Security (Cryptographer), Incident response",150,250.21,0.599496423004676,2
"14103","62","Cryptography & Communications Security (Cryptographer), Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14104","62","Cryptography & Communications Security (Cryptographer), Network Monitoring & Intrusion Detection",90,200,0.45,2
"14105","62","Cryptography & Communications Security (Cryptographer), Secure Operations",60,150.21,0.399440782903934,2
"14106","62","Cryptography & Communications Security (Cryptographer), Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,2
"14107","62","Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design",0,0,NA,2
"14108","62","Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design (Industrial Control Systems)",0,0,NA,2
"14109","62","Cryptography & Communications Security (Cryptographer), Secure System Development",0,0,NA,2
"14110","62","Cryptography & Communications Security (Cryptographer), Secure System Development (Industrial Control Systems)",0,0,NA,2
"14111","62","Cryptography & Communications Security (Cryptographer), Security Testing",120,200,0.6,2
"14112","62","Cryptography & Communications Security (Cryptographer), Vulnerability Management",120,200,0.6,2
"14113","62","Cryptography & Communications Security (Secure Communications Operator), Cyber Security Audit & Assurance",30,100,0.3,2
"14114","62","Cryptography & Communications Security (Secure Communications Operator), Cyber Security Governance & Risk Management",0,0,NA,2
"14115","62","Cryptography & Communications Security (Secure Communications Operator), Cyber Security Governance & Risk Management (Industrial Control Systems)",0,0,NA,2
"14116","62","Cryptography & Communications Security (Secure Communications Operator), Cyber Security Management",90,250.21,0.359697853802806,2
"14117","62","Cryptography & Communications Security (Secure Communications Operator), Cyber Threat Intelligence",210,250.21,0.839294992206546,2
"14118","62","Cryptography & Communications Security (Secure Communications Operator), Data Protection & Privacy",0,0,NA,2
"14119","62","Cryptography & Communications Security (Secure Communications Operator), Digital Forensics",110.21,150.21,0.73370614473071,2
"14120","62","Cryptography & Communications Security (Secure Communications Operator), Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"14121","62","Cryptography & Communications Security (Secure Communications Operator), Identity & Access Management",30,100,0.3,2
"14122","62","Cryptography & Communications Security (Secure Communications Operator), Incident response",150,250.21,0.599496423004676,2
"14123","62","Cryptography & Communications Security (Secure Communications Operator), Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14124","62","Cryptography & Communications Security (Secure Communications Operator), Network Monitoring & Intrusion Detection",90,200,0.45,2
"14125","62","Cryptography & Communications Security (Secure Communications Operator), Secure Operations",60,150.21,0.399440782903934,2
"14126","62","Cryptography & Communications Security (Secure Communications Operator), Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,2
